yyyy,mm,dd,hh,temp,sal,co2,do,ph,omega_a,omega_c,TA_calc,datetime,doy,do_mgpl,co2_thermal,co2_corr
2016,9,3,13,16.846,30.623311696302746,869.30208,279.4189453125,7.7355,1.1764433941562684,1.8421540399287024,2124.9827215644577,2016-09-03T13:00:00Z,247,9.18225029223633,725.2,708.18
2016,9,3,14,16.83065,30.928326921850953,881.72627,287.59765625,7.7913,1.5509556175417762,2.4266915101401216,2478.1717700290174,2016-09-03T14:00:00Z,247,9.451018649414065,724.73,718.77
2016,9,3,15,16.8158,30.9473186856843,900.28314,283.3251953125,7.8144,1.7611402984516242,2.755481136443904,2679.376027428859,2016-09-03T15:00:00Z,247,9.31061726879883,724.28,734.36
2016,9,3,16,16.4931,31.103915886257425,843.12401,288.57421875,7.7798,1.3920093308385884,2.1786360251593813,2305.4307462711886,2016-09-03T16:00:00Z,247,9.483110393554687,714.46,697.19
2016,9,3,17,16.46275,31.177309049874854,791.98876,294.189453125,7.8111,1.5137748705062126,2.3690274044828032,2349.48239676016,2016-09-03T17:00:00Z,247,9.667637922363282,713.54,655.75
2016,9,3,18,15.9259,31.326627965007674,861.76175,289.306640625,7.8397,1.8495913556793526,2.8964503152178054,2741.578384749231,2016-09-03T18:00:00Z,247,9.507179201660156,697.52,729.9
2016,9,3,19,15.994,31.324499589299634,868.63616,297.4853515625,7.8717500000000005,2.1685110232789957,3.39565316133866,2997.9437737802496,2016-09-03T19:00:00Z,247,9.775947558837892,699.53,733.61
2016,9,3,20,16.103650000000002,31.310434532086283,868.05012,305.0537109375,7.8192,1.7134254820622983,2.682412661446392,2630.413883782363,2016-09-03T20:00:00Z,247,10.024658575927734,702.78,729.72
2016,9,3,21,16.401699999999998,31.270537942637656,747.54324,321.533203125,7.86665,1.848385936606168,2.8921943109740225,2551.9024542257184,2016-09-03T21:00:00Z,247,10.566206758300781,711.7,620.55
2016,9,3,22,16.6692,31.182591908440052,700.88929,322.265625,7.91235,2.157677644167067,3.3749425508408595,2688.1175960935275,2016-09-03T22:00:00Z,247,10.59027556640625,719.8,575.27
2016,9,3,23,17.27335,30.902052681646733,724.17721,323.2421875,7.90975,2.259180141534185,3.5314022393606757,2766.861995719676,2016-09-03T23:00:00Z,247,10.622367310546876,738.43,579.39
2016,9,4,0,17.5631,30.83706320175221,752.53121,316.162109375,7.89575,2.20020980824334,3.4376564815303254,2754.8768181001333,2016-09-04T00:00:00Z,247,10.389702165527344,747.54,594.74
2016,9,4,1,17.4098,30.8641950004584,838.42127,312.5,7.8735,2.2033897571642096,3.4435247742344233,2898.809940229018,2016-09-04T01:00:00Z,247,10.269358125,742.71,666.93
2016,9,4,2,16.9366,31.052050943766332,846.11165,304.3212890625,7.8859,2.3189659772124838,3.6261301351795425,3018.1582201012648,2016-09-04T02:00:00Z,247,10.000589767822266,727.99,686.66
2016,9,4,3,17.04195,31.034463235277713,895.2406,303.8330078125,7.81275,1.763343457475252,2.756730432759108,2659.151269275376,2016-09-04T03:00:00Z,247,9.984543895751953,731.24,723.3
2016,9,4,4,16.9146,31.050831354822257,903.56446,303.1005859375,7.7585,1.3854119419816604,2.1665884929557246,2352.7579518032353,2016-09-04T04:00:00Z,248,9.960475087646484,727.31,733.96
2016,9,4,5,16.47255,31.130539872076028,842.58779,299.31640625,7.7041,0.9898111870946678,1.5489596261215597,1919.5316573104808,2016-09-04T05:00:00Z,248,9.836119579101563,713.84,697.35
