date, datatype, valuestation,attributes
2015-01-09T00:00:00,TAVG,-6.0,GHCND:USW00014764,"H,,S,"
2015-01-09T00:00:00,TMAX,-1.6,GHCND:USW00014764,",,W,2400"
2015-01-09T00:00:00,TMIN,-8.2,GHCND:USW00014764,",,W,2400"
2015-01-09T00:00:00,WDF2,200,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,WDF5,210,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,WSF2,10.3,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,WSF5,14.8,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-10T00:00:00,AWND,3.7,GHCND:USW00014764,",,W,"
2015-01-10T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-10T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-10T00:00:00,SNWD,80.0,GHCND:USW00014764,",,W,2400"
2015-01-10T00:00:00,TAVG,-7.1,GHCND:USW00014764,"H,,S,"
2015-01-10T00:00:00,TMAX,-4.3,GHCND:USW00014764,",,W,2400"
2015-01-10T00:00:00,TMIN,-12.1,GHCND:USW00014764,",,W,2400"
2015-01-10T00:00:00,WDF2,290,GHCND:USW00014764,",,W,"
2015-01-10T00:00:00,WDF5,290,GHCND:USW00014764,",,W,"
2015-01-10T00:00:00,WSF2,9.8,GHCND:USW00014764,",,W,"
2015-01-10T00:00:00,WSF5,12.5,GHCND:USW00014764,",,W,"
2015-01-11T00:00:00,AWND,2.7,GHCND:USW00014764,",,W,"
2015-01-11T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-11T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-11T00:00:00,SNWD,80.0,GHCND:USW00014764,",,W,2400"
2015-01-11T00:00:00,TAVG,-8.8,GHCND:USW00014764,"H,,S,"
2015-01-11T00:00:00,TMAX,-3.2,GHCND:USW00014764,",,W,2400"
2015-01-11T00:00:00,TMIN,-13.8,GHCND:USW00014764,",,W,2400"
2015-01-11T00:00:00,WDF2,220,GHCND:USW00014764,",,W,"
2015-01-11T00:00:00,WDF5,220,GHCND:USW00014764,",,W,"
2015-01-11T00:00:00,WSF2,5.4,GHCND:USW00014764,",,W,"
2015-01-11T00:00:00,WSF5,6.7,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,AWND,1.2,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,PRCP,5.3,GHCND:USW00014764,",,W,2400"
2015-01-12T00:00:00,SNOW,71.0,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,SNWD,100.0,GHCND:USW00014764,",,W,2400"
2015-01-12T00:00:00,TAVG,-2.6,GHCND:USW00014764,"H,,S,"
2015-01-12T00:00:00,TMAX,0.6,GHCND:USW00014764,",,W,2400"
2015-01-12T00:00:00,TMIN,-4.3,GHCND:USW00014764,",,W,2400"
2015-01-12T00:00:00,WDF2,330,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,WDF5,350,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,WSF2,4.5,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,WSF5,6.7,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-12T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-13T00:00:00,AWND,4.2,GHCND:USW00014764,",,W,"
2015-01-13T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-13T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-13T00:00:00,SNWD,150.0,GHCND:USW00014764,",,W,2400"
2015-01-13T00:00:00,TAVG,-6.0,GHCND:USW00014764,"H,,S,"
2015-01-13T00:00:00,TMAX,-0.5,GHCND:USW00014764,",,W,2400"
2015-01-13T00:00:00,TMIN,-18.2,GHCND:USW00014764,",,W,2400"
2015-01-13T00:00:00,WDF2,330,GHCND:USW00014764,",,W,"
2015-01-13T00:00:00,WDF5,330,GHCND:USW00014764,",,W,"
2015-01-13T00:00:00,WSF2,11.2,GHCND:USW00014764,",,W,"
2015-01-13T00:00:00,WSF5,15.2,GHCND:USW00014764,",,W,"
